U,I
1.02,0.0046
1.02,0.0046
1.02,0.0046
1.03,0.0047
1.03,0.0047
1.03,0.0047
1.04,0.0047
1.04,0.0047
1.04,0.0047
1.05,0.0048
1.05,0.0048
1.05,0.0048
1.05,0.0048
1.06,0.0048
1.06,0.0048
1.06,0.0048
1.07,0.0049
1.07,0.0049
1.07,0.0049
1.08,0.0049
1.08,0.0049
1.08,0.0049
1.09,0.005
1.09,0.005
1.09,0.005
1.1,0.005
1.1,0.005
1.1,0.005
1.11,0.005
1.11,0.005
1.11,0.005
1.12,0.0051
1.12,0.0051
1.12,0.0051
1.13,0.0051
1.13,0.0051
1.13,0.0051
1.14,0.0052
1.14,0.0052
1.14,0.0052
1.15,0.0052
1.15,0.0052
1.15,0.0052
1.15,0.0052
1.16,0.0053
1.16,0.0053
1.16,0.0053
1.17,0.0053
1.17,0.0053
1.17,0.0053
1.18,0.0054
1.18,0.0054
1.18,0.0054
1.19,0.0054
1.19,0.0054
1.19,0.0054
1.2,0.0055
1.2,0.0055
1.2,0.0055
1.21,0.0055
1.21,0.0055
1.21,0.0055
1.22,0.0055
1.22,0.0055
1.22,0.0055
1.23,0.0056
1.23,0.0056
1.23,0.0056
1.24,0.0056
1.24,0.0056
1.24,0.0056
1.25,0.0057
1.25,0.0057
1.25,0.0057
1.25,0.0057
1.26,0.0057
1.26,0.0057
1.26,0.0057
1.27,0.0058
1.27,0.0058
1.27,0.0058
1.28,0.0058
1.28,0.0058
1.28,0.0058
1.29,0.0059
1.29,0.0059
1.29,0.0059
1.3,0.0059
1.3,0.0059
1.3,0.0059
1.31,0.006
1.31,0.006
1.31,0.006
1.32,0.006
1.32,0.006
1.32,0.006
1.33,0.006
1.33,0.006
1.33,0.006
1.34,0.0061
1.34,0.0061
1.34,0.0061
1.35,0.0061
1.35,0.0061
1.35,0.0061
1.35,0.0061
1.36,0.0062
1.36,0.0062
1.36,0.0062
1.37,0.0062
1.37,0.0062
1.37,0.0062
1.38,0.0063
1.38,0.0063
1.38,0.0063
1.39,0.0063
1.39,0.0063
1.39,0.0063
1.4,0.0064
1.4,0.0064
1.4,0.0064
1.41,0.0064
1.41,0.0064
1.41,0.0064
1.42,0.0065
1.42,0.0065
1.42,0.0065
1.43,0.0065
1.43,0.0065
1.43,0.0065
1.44,0.0065
1.44,0.0065
1.44,0.0065
1.45,0.0066
1.45,0.0066
1.45,0.0066
1.45,0.0066
1.46,0.0066
1.46,0.0066
1.46,0.0066
1.47,0.0067
1.47,0.0067
1.47,0.0067
1.48,0.0067
1.48,0.0067
1.48,0.0067
1.49,0.0068
1.49,0.0068
1.49,0.0068
1.5,0.0068
1.5,0.0068
1.5,0.0068
1.51,0.0069
1.51,0.0069
1.51,0.0069
1.52,0.0069
1.52,0.0069
1.52,0.0069
1.53,0.007
1.53,0.007
1.53,0.007
1.54,0.007
1.54,0.007
1.54,0.007
1.55,0.007
1.55,0.007
1.55,0.007
1.55,0.007
1.56,0.0071
1.56,0.0071
1.56,0.0071
1.57,0.0071
1.57,0.0071
1.57,0.0071
1.58,0.0072
1.58,0.0072
1.58,0.0072
1.59,0.0072
1.59,0.0072
1.59,0.0072
1.6,0.0073
1.6,0.0073
1.6,0.0073
1.61,0.0073
1.61,0.0073
1.61,0.0073
1.62,0.0074
1.62,0.0074
1.62,0.0074
1.63,0.0074
1.63,0.0074
1.63,0.0074
1.64,0.0075
1.64,0.0075
1.64,0.0075
1.65,0.0075
1.65,0.0075
1.65,0.0075
1.65,0.0075
1.66,0.0075
1.66,0.0075
1.66,0.0075
1.67,0.0076
1.67,0.0076
1.67,0.0076
1.68,0.0076
1.68,0.0076
1.68,0.0076
1.69,0.0077
1.69,0.0077
1.69,0.0077
1.7,0.0077
1.7,0.0077
1.7,0.0077
1.71,0.0078
1.71,0.0078
1.71,0.0078
1.72,0.0078
1.72,0.0078
1.72,0.0078
1.73,0.0079
1.73,0.0079
1.73,0.0079
1.74,0.0079
1.74,0.0079
1.74,0.0079
1.75,0.008
1.75,0.008
1.75,0.008
1.75,0.008
1.76,0.008
1.76,0.008
1.76,0.008
1.77,0.008
1.77,0.008
1.77,0.008
1.78,0.0081
1.78,0.0081
1.78,0.0081
1.79,0.0081
1.79,0.0081
1.79,0.0081
1.8,0.0082
1.8,0.0082
1.8,0.0082
1.81,0.0082
1.81,0.0082
1.81,0.0082
1.82,0.0083
1.82,0.0083
1.82,0.0083
1.83,0.0083
1.83,0.0083
1.83,0.0083
1.84,0.0084
1.84,0.0084
1.84,0.0084
1.85,0.0084
1.85,0.0084
